﻿表面,父馬名,騎手,件数,複勝率,父馬他騎手複勝率,騎手他父馬複勝率,父馬比差pt,騎手比差pt,父馬比z,騎手比z,判定
ダート,キズナ,鮫島克駿,111,42.34234234234234,28.0791538723985,26.86991869918699,14.263188469943843,15.472423643155352,3.2641949428037216,3.569565644678448,◎
ダート,キタサンブラック,坂井瑠星,31,54.83870967741935,26.26788036410923,35.37604456824512,28.57082931331012,19.462665109174225,3.49785444477458,2.246313347876443,◎
ダート,キングカメハメハ,吉田隼人,42,54.761904761904766,26.368159203980102,28.32529290144728,28.393745557924667,26.436611860457486,4.087386916923753,3.7196425346279676,◎
ダート,キングカメハメハ,横山典弘,37,59.45945945945946,26.348419094854307,32.61851015801354,33.11104036460515,26.84094930144592,4.4807041484855334,3.3842352103277977,◎
ダート,キンシャサノキセキ,武豊,42,59.523809523809526,22.445187662578967,40.45454545454545,37.07862186123055,19.06926406926407,5.664697242706878,2.4794835823726604,◎
ダート,キンシャサノキセキ,Ｍ．デム,45,51.11111111111111,22.544642857142858,29.166666666666668,28.566468253968246,21.94444444444444,4.514909664079896,3.1565283087320606,◎
ダート,シニスターミニスター,幸英明,101,37.62376237623762,27.89017341040462,23.46182357301705,9.733588965833,14.161938803220576,2.143665355678901,3.273096052054144,◎
ダート,シニスターミニスター,水口優也,59,40.67796610169492,27.955454026270704,15.89648798521257,12.722512075424214,24.781478116482347,2.154478669525949,4.6712497511511755,◎
ダート,シニスターミニスター,石橋脩,38,47.368421052631575,27.959125745103602,24.313186813186814,19.409295307527973,23.055234239444765,2.645715477220978,3.2445123014731747,◎
ダート,ジャスタウェイ,田辺裕信,47,46.808510638297875,20.94017094017094,29.38021454112038,25.86833969812693,17.428296097177494,4.269085323645248,2.5751236473113903,◎
ダート,ダイワメジャー,浜中俊,31,45.16129032258064,18.195413758723827,27.151639344262296,26.965876563856817,18.009650978318348,3.8286397136916195,2.2057586760350527,◎
ダート,ダンカーク,幸英明,45,40.0,16.902457185405808,23.710965867828612,23.097542814594192,16.28903413217139,3.9975934026931177,2.5388552192920906,◎
ダート,ダンカーク,藤岡康太,33,42.42424242424242,17.047970479704798,26.551453260015712,25.37627194453763,15.872789164226713,3.777835236267338,2.028852566874734,◎
ダート,ドゥラメンテ,岩田望来,72,44.44444444444444,25.528700906344408,31.426362582141476,18.91574353810003,13.018081862302965,3.5861520813207335,2.3400418989464495,◎
ダート,ドレフォン,ルメール,69,66.66666666666666,27.093023255813954,50.57034220532319,39.57364341085271,16.09632446134347,7.259153616077356,2.6183190540092913,◎
ダート,ドレフォン,岩田望来,64,51.5625,27.431059506531202,31.290944123314063,24.131440493468798,20.271555876685937,4.266227703505095,3.4407880698536655,◎
ダート,ドレフォン,藤岡康太,40,45.0,27.67368117613145,26.38230647709321,17.326318823868554,18.61769352290679,2.430046764515811,2.6127556449818385,◎
ダート,ドレフォン,鮫島克駿,111,43.24324324324324,27.369040612124778,26.82926829268293,15.874202631118466,16.413974950560316,3.6706356688605117,3.7867862480647596,◎
ダート,ハーツクライ,西村淳也,53,41.509433962264154,24.20837589376915,26.629422718808193,17.301058068495003,14.880011243455959,2.883206994984957,2.410833363779062,◎
ダート,ハーツクライ,角田大和,33,42.42424242424242,24.3680485338726,19.9137311286844,18.056193890369826,22.510511295558025,2.3864657388443486,3.169563373719594,◎
ダート,パイロ,岩田望来,80,45.0,25.195968645016798,31.36874757658007,19.804031354983202,13.631252423419932,3.9908097932530127,2.5788055578163895,◎
ダート,パイロ,戸崎圭太,39,53.84615384615385,25.36764705882353,38.083657587548636,28.478506787330314,15.762496258605207,4.037476833898499,2.005255532883794,◎
ダート,パイロ,松山弘平,76,51.31578947368421,25.046589638464408,38.26378539493294,26.26919983521981,13.052004078751278,5.163450886770363,2.3045943265908915,◎
ダート,ヘニーヒューズ,坂井瑠星,74,47.2972972972973,27.22501640061229,35.24396020843202,20.072280896685008,12.053337088865273,3.8341842578221996,2.127803948166821,◎
ダート,ヘニーヒューズ,岩田望来,93,46.236559139784944,27.16293368467281,31.254871395167577,19.07362545511213,14.981687744617368,4.075970488231384,3.0481947741235733,◎
ダート,ヘニーヒューズ,石橋脩,105,40.0,27.256715103478648,23.758099352051836,12.743284896521356,16.241900647948164,2.8897441968567468,3.7109920358890416,◎
ダート,ヘニーヒューズ,藤岡康太,43,46.51162790697674,27.367506516072982,26.286619160728424,19.144121390903763,20.225008746248317,2.7970299576754805,2.9393458594852206,◎
ダート,ヘニーヒューズ,西村淳也,63,14.285714285714285,27.726876090750434,27.362020579981287,-13.44116180503615,-13.076306294267004,-2.371860713040378,-2.304454142700916,×
ダート,ヘニーヒューズ,Ｍ．デム,57,42.10526315789473,27.363834422657952,29.372937293729372,14.741428735236784,12.732325864165361,2.4759572456025136,2.051089518038274,◎
ダート,ホッコータルマエ,岩田望来,43,51.162790697674424,22.902654867256636,31.460244648318042,28.260135830417788,19.70254604935638,4.348921802427941,2.7522483603788017,◎
ダート,ホッコータルマエ,松山弘平,37,59.45945945945946,22.85411515365595,38.34006610356225,36.60534430580351,21.119393355897216,5.230933425756295,2.620748570259341,◎
ダート,ホッコータルマエ,横山武史,43,53.48837209302325,22.867256637168143,35.10022271714922,30.621115455855108,18.38814937587403,4.712250408835446,2.4969380003562534,◎
ダート,ホッコータルマエ,鮫島良太,32,40.625,23.1311706629055,14.40501043841336,17.4938293370945,26.219989561586644,2.3268955430241274,3.9124620508250576,◎
ダート,マインドユアビスケッツ,横山武史,41,53.65853658536586,20.323488045007032,35.11348464619493,33.33504854035883,18.545051939170932,5.1434976697695145,2.460077867825778,◎
ダート,マクフィ,藤岡佑介,33,51.515151515151516,19.093655589123866,30.783410138248847,32.421495926027646,20.73174137690267,4.634292858998818,2.5280012426472425,◎
ダート,マジェスティックウォリアー,丹内祐次,39,48.717948717948715,22.000699545295557,23.126771972458485,26.71724917265316,25.59117674549023,3.977420891957024,3.7384929293599485,◎
ダート,マジェスティックウォリアー,団野大成,67,40.298507462686565,21.935711762628046,25.086805555555557,18.36279570005852,15.211701907131008,3.565468196906335,2.8154588554552493,◎
ダート,マジェスティックウォリアー,幸英明,84,39.285714285714285,21.85501066098081,23.499079189686924,17.430703624733475,15.78663509602736,3.7782182091325653,3.3378630029308534,◎
ダート,ラニ,和田竜二,35,37.142857142857146,21.960072595281307,21.951219512195124,15.182784547575837,15.191637630662022,2.0739030113460104,2.1474180183724862,◎
ダート,リアルスティール,坂井瑠星,35,57.14285714285714,24.66403162055336,35.30232558139535,32.47882552230378,21.84053156146179,4.346548768181012,2.6759672116303177,◎
ダート,リオンディーズ,松山弘平,47,53.191489361702125,21.410451547437848,38.37080722447475,31.78103781426428,14.820682137227376,5.185361550037367,2.069003638921861,◎
ダート,ルヴァンスレーヴ,菅原明良,34,50.0,30.362116991643457,24.56512515910055,19.637883008356543,25.434874840899447,2.4384963215200046,3.403950895379475,◎
ダート,ロージズインメイ,丹内祐次,84,34.523809523809526,16.911764705882355,23.143564356435643,17.61204481792717,11.380245167373879,3.95371660050862,2.4175253006231467,◎
