﻿レベル,場所,表面,条件値,騎手,件数,複勝率,人気補正期待複勝率,差pt,z,判定
距離区分,阪神,芝,長距離,幸英明,108,22.22222222222222,15.47361387941098,6.748608342811241,2.044434322889287,◎
距離区分,阪神,ダート,短距離,川田将雅,198,62.121212121212125,55.42382752011318,6.6973846010989435,1.9642300218270203,◎
距離区分,阪神,芝,中距離,岩田康誠,113,42.47787610619469,25.805007574024984,16.672868532169705,4.292415167240145,◎
距離区分,阪神,芝,中距離,幸英明,256,15.234375,20.432984046004478,-5.198609046004476,-2.181617546669159,×
距離区分,阪神,芝,中距離,福永祐一,135,45.18518518518518,55.48767194349432,-10.302486758309136,-2.7025467115937505,×
距離区分,阪神,芝,中距離,坂井瑠星,209,40.66985645933015,33.89005761812921,6.779798841200934,2.308616494358054,◎
距離区分,阪神,芝,短距離,和田竜二,208,24.03846153846154,18.829829497932945,5.2086320405285935,2.0054264948051177,◎
距離区分,阪神,ダート,中距離,高倉稜,121,19.00826446280992,11.967876820149549,7.04038764266037,2.60957744128292,◎
距離区分,阪神,ダート,短距離,泉谷楓真,158,11.39240506329114,16.670415269746943,-5.2780102064558045,-2.047135371642809,×
距離区分,阪神,ダート,短距離,吉田隼人,151,29.13907284768212,20.363533890562092,8.775538957120027,2.9211543932860797,◎
距離区分,阪神,ダート,短距離,北村友一,174,34.48275862068966,26.798008339977397,7.68475028071226,2.5487677921234067,◎
距離区分,阪神,芝,中距離,池添謙一,142,38.732394366197184,31.46505383646692,7.26734052973026,2.0712363694748426,◎
距離区分,阪神,芝,マイル,北村友一,109,29.357798165137616,21.990820917810623,7.366977247326995,1.9863718534185033,◎
距離区分,阪神,ダート,中距離,岩田望来,457,40.48140043763676,33.08631041061017,7.395090027026596,3.646915867464663,◎
距離区分,阪神,ダート,中距離,吉田隼人,130,37.69230769230769,29.64796168761193,8.044346004695763,2.200842823630679,◎
距離区分,阪神,芝,短距離,団野大成,144,31.944444444444443,24.80782117432393,7.136623270120513,2.1121077848416405,◎
距離区分,阪神,芝,マイル,鮫島克駿,132,25.0,16.669708875015992,8.330291124984008,2.79941989133797,◎
距離区分,阪神,芝,マイル,酒井学,110,16.363636363636363,7.671186256091915,8.692450107544449,3.8024343387261466,◎
距離区分,小倉,芝,中距離,川田将雅,110,60.0,68.55619270243616,-8.55619270243617,-1.9738570284391415,×
距離区分,小倉,芝,中距離,西村淳也,260,38.84615384615385,33.41842084099845,5.427733005155394,2.0146280448406975,◎
距離区分,小倉,ダート,中距離,丹内祐次,189,21.164021164021165,26.885382840272857,-5.721361676251696,-1.9684023927747356,×
距離区分,小倉,芝,短距離,泉谷楓真,124,20.161290322580644,12.844105437541096,7.3171848850395484,2.7522370793831494,◎
距離区分,小倉,芝,長距離,森一馬,109,44.03669724770643,34.209242522235364,9.827454725471064,2.3765360116248084,◎
距離区分,新潟,ダート,中距離,横山琉人,104,21.153846153846153,14.316740155414031,6.837105998432122,2.174159400770864,◎
距離区分,東京,芝,中距離,永野猛蔵,135,8.88888888888889,14.870255116705813,-5.981366227816924,-2.1254831241490972,×
